ID_CCAA;CCAA;Sector;31/12/2018;31/12/2017;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010
4;BALEARES (ISLAS);Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;4336436;4158078;4052315;3927130;3827596;3814159;3776048;3979734;3973276
4;BALEARES (ISLAS);Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;1206892;1218252;1187328;1167991;1088219;1098984;1127685;1132949;1110412
5;CANARIAS;Agricultura, ganadería, silvicultura y pesca;566288;561841;530519;515176;577127;592282;634645;704243;613057
5;CANARIAS;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;3211469;3180439;2990412;2999277;2907052;2937256;3216067;3264282;3472665
5;CANARIAS;Industria manufacturera;1566646;1556240;1467221;1404391;1369010;1420975;1592674;1616840;1719662
5;CANARIAS;Construcción;2580051;2347634;2082820;1904006;1810773;1817315;2086872;2425013;2939545
5;CANARIAS;Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;14485023;14154778;13387067;12669377;12160470;11998541;11968947;12216617;11723892
5;CANARIAS;Información y comunicaciones;1101421;1074669;1066280;1029558;1023216;1072083;1085940;1155145;1203777
5;CANARIAS;Actividades financieras y de seguros;1211459;1135013;1098660;1079213;1040239;982966;1118130;1143625;1259469
5;CANARIAS;Actividades inmobiliarias;5391965;5266528;5170797;5106113;5148820;5185474;5038903;4851989;4508231
5;CANARIAS;Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;3019017;2897370;2786620;2631554;2340657;2306578;2279746;2458609;2486797
5;CANARIAS;Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;8233016;7906715;7817560;7667565;7635925;7614978;7446120;7855287;7940970
5;CANARIAS;Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;1839658;1824320;1772339;1735658;1604893;1578199;1642387;1648388;1627641
6;CANTABRIA;Agricultura, ganadería, silvicultura y pesca;216345;215111;202641;171510;181695;167675;197131;209067;197824
6;CANTABRIA;Industrias extractivas, suministro de energía eléctrica, gas, suministro de agua, actividades de saneamiento, gestión de residuos;2988519;2801083;2501073;2416674;2451764;2293356;2531250;2613411;2570365
6;CANTABRIA;Industria manufacturera;2562780;2398021;2125489;2071963;2116584;1956938;2168462;2218898;2139175
6;CANTABRIA;Construcción;979558;869843;833135;775531;740262;762899;887017;1033180;1255569
